NAME,NORTH,EAST,ELEVATION,TIMESTAMP,LATITUDE,LONGITUDE,TIMESTEP_s_da,DISTANCE_m_da,VELOCITY_kmh_da,VELOCITY_[km/h]_da_smoothed,TIMESTEP_s_da_smoothed,ACCELERATION_ms2_p,ACCELERATION_[m/s^2]_p_smoothed,VELOCITY_kmh_p,EMISSION_[g/s]_p 
10405,186463.6715,160854.6435,54.081674,2019-09-30 05:32:19,50.988306243306546,4.523348853973908,1.0003418651137743,15.79089737132929,56.82780309341537,56.81888387174149,1.0004988951403542,0.010326861032013598,-0.0007117096722680129,56.81760130238556,2.952159553833734
10406,186475.3972,160864.7136,54.20526,2019-09-30 05:32:20,50.9884114575274,4.523492624007787,1.000307678602397,15.80069111341651,56.86499186707646,56.8163195858522,1.0011646024052518,0.005367996177735669,0.015716297776311033,56.844622416404455,2.9362439790665693
10407,186487.0772,160874.5227,54.276408,2019-09-30 05:32:21,50.98851626568235,4.52363267609074,1.0002769107421572,15.805576161598356,56.88432230184837,56.87294469823057,1.0004770191462296,0.0040289951940949125,0.020756138385948204,56.9102830141601,2.9358961292838304
10408,186498.4304,160884.4023,54.333588,2019-09-30 05:32:22,50.98861813469676,4.523773723121783,1.0002492196679413,15.809169668830283,56.89883050014552,56.94766188519055,0.9993915276544384,0.022384390903881994,0.014934166773078435,56.97453905122305,3.006202475738199
10409,186509.7306,160894.3072,54.430674,2019-09-30 05:32:23,50.98871952663852,4.523915129512618,1.000224297701147,15.831170483954697,56.9794333863157,57.001404194765115,0.9998387679626839,0.06178139750078118,0.021097363218999455,57.05090629331544,3.1542422631324714
10410,186521.0156,160904.1067,54.54092,2019-09-30 05:32:24,50.98882078376305,4.524055034915413,1.300201867931032,20.671496237871203,57.23525576436391,57.08887542428211,1.3035356871766954,-3.0360359729317486e-15,0.024185067702975054,57.145509923146506,2.9373564535756795
10411,186532.3748,160913.8912,54.601675,2019-09-30 05:32:25,50.98892270799336,4.524194729509044,1.300201867931032,20.6714962378712,57.2352557643639,57.20225690107221,1.3009519289603664,0.0,0.02883110157623214,57.26961227183084,2.9457519296434818
10412,186543.9661,160923.7288,54.650912,2019-09-30 05:32:26,50.98902671742211,4.524335187940395,1.300201867931032,20.6714962378712,57.2352557643639,57.33712645080821,1.297891803492837,0.02183746845274733,0.033101547258322206,57.41215936910625,3.034443511277921
10413,186555.7094,160933.7613,54.675146,2019-09-30 05:32:27,50.98913208933353,4.524478427410618,1.2626766344396532,20.110228449456155,57.33599596556264,57.48949137747137,1.2593053214315373,0.0961005571832156,0.03781516028106263,57.57161494610786,3.318213246430093
10414,186567.5335,160944.0392,54.763028,2019-09-30 05:32:28,50.98923818273567,4.524625165058504,1.2043040490086192,19.323304933320227,57.762736758393935,57.65733244473877,1.2065056569626387,0.027037447435051883,0.04251474293781125,57.74781698741835,3.0767087752374795
10415,186579.5274,160954.4604,54.767968,2019-09-30 05:32:29,50.98934579958304,4.524773949428369,1.1816035991187726,18.997183515290658,57.87885269311197,57.84014668756415,1.1823943155688859,0.03066804358511854,0.048616609173716636,57.94171812723336,3.1035765914387543
10416,186591.6214,160964.7043,54.843105,2019-09-30 05:32:30,50.98945431941514,4.52492021228831,1.161425421438909,18.714497449280973,58.00819370213456,58.04518933142599,1.1606851763843904,0.04656163198537278,0.04195408524654271,58.131516216503904,3.1755553384263076
10417,186603.5591,160975.116,54.639881,2019-09-30 05:32:31,50.98956143087462,4.5250688610247884,1.1434892635012526,18.486845163455428,58.20137076290672,58.21916808920587,1.143139704203,0.0431389695295663,0.02803489214898832,58.276110065406726,3.173197234587353
10418,186615.7472,160985.5268,54.638054,2019-09-30 05:32:32,50.989670793032126,4.525217505170744,1.1275460120011134,18.284322770122987,58.37771698169756,58.333796102380134,1.1283949677630705,0.01793356257843558,0.012368732524713984,58.35861211045288,3.0858858129662536
10419,186664.9058,161026.8727,54.536355,2019-09-30 05:32:36,50.990111896798,4.52580786661256,1.1133742328898786,18.07688470515805,58.450054811898625,58.383734378422176,1.1146389594876696,-0.013311218380338392,0.009520119816863981,58.40241707282148,2.974122388176322
10420,186677.1166,161037.4901,54.478083,2019-09-30 05:32:37,50.990221458105864,4.525959457476723,1.0906993863119028,17.692733068466776,58.39724478240986,58.421517766425836,1.0902462223103095,-0.012205893369586652,-0.003520754852548493,58.414669927964965,2.978999851125847
10421,186689.5402,161048.2887,54.473239,2019-09-30 05:32:38,50.99033292862896,4.526113636300515,1.0816294476807122,17.53126563182315,58.34951739700935,58.40776064654516,1.0805508647470543,-0.013125814376593888,-0.019363253306980417,58.370368075577375,2.9726309746523683
10422,186702.1899,161059.157,54.436709,2019-09-30 05:32:39,50.99044643004756,4.526268815446361,1.073466502912641,17.383776213841628,58.29860009606912,58.33270671138807,1.0728388565863052,-0.022588993271688503,-0.03557429402733061,58.26442045125367,2.930942256735463
10423,186714.7749,161069.6521,54.226592,2019-09-30 05:32:40,50.99055935681711,4.526418677931642,1.0661198526213769,17.239040777123265,58.211604112848285,58.195722578383,1.0664107952960853,-0.04517425080331425,-0.05323312307090863,58.094118961719396,2.8377229395780654
10424,186727.2997,161080.3211,54.168916,2019-09-30 05:32:41,50.990671738910606,4.526571016153462,1.059507867359239,17.08125680166876,58.0387615613219,57.99193588292115,1.060363368626867,-0.07366729961575756,-0.07371026669201518,57.852037165199455,2.719776497496081
10425,186740.0782,161091.019,54.079515,2019-09-30 05:32:42,50.99078640078314,4.5267237744487465,1.053557080623315,16.90331859929551,57.758566741786844,57.711349765153976,1.0544190563050415,-0.09806394630097004,-0.09837084847020035,57.525589739152394,2.6127515704362634
10426,186752.852,161101.7198,53.950691,2019-09-30 05:32:43,50.990901020148605,4.5268765746530715,1.0482013725609836,16.709370693442914,57.38757463122363,57.33888636417101,1.0490914335926547,-0.12596188221664226,-0.1192487071863381,57.11483371527176,2.4901372291882025
10427,186765.4083,161112.2961,53.843077,2019-09-30 05:32:44,50.99101368657755,4.52702759571546,1.0433812353048852,16.495088475129972,56.91334720344655,56.889648680354625,1.0438158766653458,-0.14088868356280182,-0.13332732537864703,56.640309734904896,2.4106182662597844
10428,186777.8042,161122.6855,53.750698,2019-09-30 05:32:45,50.99112491455679,4.527175950579896,1.0390431117743968,16.274083496616836,56.38524515866412,56.389805212662495,1.038959087850596,-0.1392238170261495,-0.13544542500291137,56.13752131909185,2.3871102538214233
10429,186790.0829,161133.1576,53.690279,2019-09-30 05:32:46,50.99123508722769,4.527325480472127,1.0351388005969573,16.063470582633762,55.86544921717963,55.884221259705654,1.0347910876084405,-0.13183238031763025,-0.12825067081000782,55.646208300969825,2.383685208020315
10430,186802.2529,161143.6644,53.643105,2019-09-30 05:32:47,50.991344281919616,4.52747550198007,1.0316249205372616,15.868400003902613,55.375009731539386,55.407325528928624,1.0310232350814934,-0.11102410860381942,-0.11285045056799513,55.19851100156293,2.427679760728898
10431,186814.4705,161154.0825,53.620592,2019-09-30 05:32:48,50.99145390601107,4.527624262275622,1.0284624284835355,15.702140083256058,54.963314880711515,54.9890784156379,1.0279805722957225,-0.0905015924174548,-0.08950378981230606,54.823934193657465,2.4744539805668504
10432,186826.613,161164.4038,53.621747,2019-09-30 05:32:49,50.99156285670071,4.527771642225066,1.0256161856351822,15.563355137884301,54.628699586760426,54.65831951092446,1.0250603933255806,-0.055617124394315785,-0.06268756800929773,54.54288813817449,2.5748429010966256
